plant_species,plant_accepted_name,plant_family
Ceropegia acicularis,Ceropegia acicularis Kidyoo,Apocynaceae
Ceropegia boonjarasii,Ceropegia boonjarasii Kidyoo,Apocynaceae
Ceropegia tenuicaulis,Ceropegia tenuicaulis Kidyoo,Apocynaceae
Clivia miniata,Clivia miniata (Lindl.) Bosse,Amaryllidaceae
Cucumis melo L.,Cucumis melo L.,Cucurbitaceae
Decaspermum parviflorum,Decaspermum parviflorum (Lam.) A.J.Scott,Myrtaceae
Rosa setigera,Rosa setigera Michx.,Rosaceae
Trichogoniopsis adenantha,Trichogoniopsis adenantha (DC.) R.M.King & H.Rob.,Asteraceae
Erythrina stricta,Erythrina stricta Roxb.,Fabaceae
Ficus vallis-choudae,Ficus vallis-choudae Delile,Moraceae
Dryobalanops lanceolata,Dryobalanops lanceolata Burck,Dipterocarpaceae
Shorea macroptera,Shorea macroptera Dyer,Dipterocarpaceae
Shorea smithiana,Shorea smithiana Symington,Dipterocarpaceae
Shorea ferruginea,Shorea ferruginea Dyer ex Brandis,Dipterocarpaceae
Shorea patoiensis,Shorea patoiensis P.S.Ashton,Dipterocarpaceae
Cavendishia pubescens,Cavendishia pubescens (Klotzsch) Hemsl.,Ericaceae
Fuchsia venusta,Fuchsia venusta Kunth,Onagraceae
Colchicum scabromarginatum,Colchicum scabromarginatum (Schltr. & K.Krause) J.C.Manning & Vinn.,Colchicaceae
Colchicum coloratum,Colchicum coloratum J.C.Manning & Vinn.,Colchicaceae
Colchicum hantamense,Colchicum hantamense (Engl. ex Diels) J.C.Manning & Vinn.,Colchicaceae
Hypoxis camerooniana,Hypoxis camerooniana Baker,Hypoxidaceae
Monotropsis odorata,Monotropsis odorata Schweinitz,Ericaceae
Monotropa uniflora,Monotropa uniflora L.,Ericaceae
Monotropa hypopitys yellow form,Monotropa hypopitys L.,Ericaceae
Monotropa hypopitys red form,Monotropa hypopitys L.,Ericaceae
Asteraceae spp.,Asteraceae Giseke,Asteraceae
Browneopsis disepala,Browneopsis disepala (Little) Klitg.,Fabaceae
Raphanus sativus,Raphanus sativus L.,Brassicaceae
Campanula punctata,Campanula punctata Lam.,Campanulaceae
Campanula microdonta,Campanula microdonta Koidz.,Campanulaceae
Albizia pedicellaris,Albizia pedicellaris (DC.) L.Rico,Fabaceae
Dioclea scabra,Dioclea scabra (Rich.) R.H.Maxwell,Fabaceae
Annona squamosa,Annona squamosa L.,Annonaceae
Colchicum coloratum subsp. coloratum,Colchicum coloratum subsp. coloratum ,NA
Cayaponia cabocla,Cayaponia cabocla Mart.,Cucurbitaceae
Cayaponia pilosa,Cayaponia pilosa Cogn.,Cucurbitaceae
Mucuna macrocarpa,Mucuna macrocarpa Wall.,Fabaceae
Mucuna birdwoodiana,Mucuna birdwoodiana Tutcher,Fabaceae
Mucuna thailandica,Mucuna thailandica Niyomdham & Wilmot-Dear,Fabaceae
Tetramalopium humile,Tetramolopium humile Hillebr.,Asteraceae
Dubautia scabra,Dubautia scabra (DC.) D.D.Keck,Asteraceae
Dubautia ciliolata,Dubautia ciliolata (DC.) D.D.Keck,Asteraceae
Leptecophylla tameiameiae,Leptecophylla tameiameiae (Cham. & Schltdl.) C.M.Weiller,Ericaceae
Geranium cuneatum,Geranium cuneatum Hook.,Geraniaceae
Tillandsia landbeckii,Tillandsia landbeckii Phil.,Bromeliaceae
Neuwiedia veratrifolia,Neuwiedia veratrifolia Blume,Orchidaceae
Neuwiedia zollingeri var. javanica,Neuwiedia zollingeri var. javanica (J.J.Sm.) de Vogel,Orchidaceae
Clinopodium alpinum,Clinopodium alpinum (L.) Kuntze,Lamiaceae
Dactylorhiza maculata,Dactylorhiza maculata (L.) Soó,Orchidaceae
Shorea acuminata,Shorea acuminata Dyer,Dipterocarpaceae
Sorbus matsumurana,Sorbus matsumurana (Makino) Koehne,Rosaceae
Trollius riederianus,Trollius riederianus Fisch. & C.A.Mey.,Ranunculaceae
Rhynchanthera grandiflora,Rhynchanthera grandiflora DC.,Melastomataceae
Inula ensifolia,Inula ensifolia L.,Asteraceae
Pulicaria dysenterica,Pulicaria dysenterica Gaertn.,Asteraceae
Alcea ficifolia,Alcea ficifolia L.,Malvaceae
Lavatera thuringiaca,Lavatera thuringiaca L.,Malvaceae
Malva sylvestris,Malva sylvestris L.,Malvaceae
Campanula alliariifolia,Campanula alliariifolia Willd.,Campanulaceae
Verbascum phlomoides,Verbascum phlomoides L.,Scrophulariaceae
Rosa arvensis,Rosa arvensis Luce,NA
Sabal palmetto,Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.,Arecaceae
Coccothrinax argentata,Coccothrinax argentata (Jacq.) L.H.Bailey,Arecaceae
Guettarda scabra,Guettarda scabra (L.) Vent.,Rubiaceae
Allium cepa L.,Allium cepa L.,Amaryllidaceae
Cucumis melo subsp. agrestis,Cucumis melo f. agrestis (Naudin) W.J.de Wilde & Duyfjes,Cucurbitaceae
Trifolium fragiferum,Trifolium fragiferum L.,Fabaceae
Argentina anserina,Argentina anserina (L.) Rydb.,Rosaceae
Cycas revoluta,Cycas revoluta Thunb.,Cycadaceae
Mucuna championii,Mucuna championii Benth.,Fabaceae
Phyteuma spicatum,Phyteuma spicatum L.,Campanulaceae
Inga brenesii,Inga brenesii Standl.,Fabaceae
Inga densiflora,Inga densiflora Benth.,Fabaceae
Inga longispica,Inga longispica Standl.,Fabaceae
Inga mortoniana,Inga mortoniana J.Leon,NA
Inga oerstediana,Inga oerstediana Benth.,NA
Inga punctata,Inga punctata Willd.,Fabaceae
Inga quaternata,Inga quaternata Poepp.,Fabaceae
Gentiana cruciata,Gentiana cruciata L.,Gentianaceae
Onobrychis pindicola subsp. urumovii,Onobrychis pindicola subsp. urumovii Degen & Dren.,Fabaceae
Anthurium sanguineum,Anthurium sanguineum Engl.,Araceae
Encyclia mapuerae,Encyclia mapuerae (Huber) Brade & Pabst,Orchidaceae
Heterotaxis superflua,Heterotaxis superflua (Rchb.f.) F.Barros,Orchidaceae
Oenothera riparia,Oenothera riparia Nutt.,Onagraceae
Oenothera sessilis,Oenothera sessilis (Pennell) Munz,Onagraceae
Oenothera perennis,Oenothera perennis L.,Onagraceae
Oenothera pilosella,Oenothera pilosella Raf.,Onagraceae
Banksia hookeriana,Banksia hookeriana Meisn.,Proteaceae
Aloe lettyae,Aloe lettyae Reynolds,Asphodelaceae
Babiana vanzijliae,Babiana vanzijliae L.Bolus,Iridaceae
Miconia brevitheca,Miconia brevitheca Gleason,Melastomataceae
Miconia tonduzii var. tonduzii,Miconia tonduzii var. tonduzii ,Melastomataceae
Myristica fatua var. magnifica,Myristica fatua var. magnifica (Bedd.) J.Sinclair,Myristicaceae
Dactylorhiza sambucina,Dactylorhiza sambucina (L.) Soó,Orchidaceae
Himantoglossum hircinum,Himantoglossum hircinum (L.) Spreng.,Orchidaceae
Paullinia cupana,Paullinia cupana Kunth,Sapindaceae
Monotropastrum humile,Monotropastrum humile (D.Don) Hara,Ericaceae
Cremastra appendiculata,Cremastra appendiculata (D.Don) Makino,Orchidaceae
Hedysarum boreale var. mackenzii,Hedysarum boreale var. mackenzii (Richardson) C.L.Hitchc.,Fabaceae
Hedysarum sulphurescens,Hedysarum sulphurescens Rydb.,Fabaceae
Oxytropis sericea,Oxytropis sericea Torr. & A.Gray,Fabaceae
Astragalus striatus,Astragalus striatus Reiche,Fabaceae
Astragalus americanus,Astragalus americanus (Hook.) M.E.Jones,Fabaceae
Oxytropis splendens,Oxytropis splendens Douglas,Fabaceae
Phenakospermum guyannense,Phenakospermum guyannense (A.Rich.) Endl. ex Miq.,Strelitziaceae
Salvia farinacea,Salvia farinacea Benth.,Lamiaceae
Tecoma x 'Orange Jubilee',Tecoma xylocarpa (Roxb.) G.Don,Bignoniaceae
Lupinus pilosus,Lupinus pilosus L.,Fabaceae
Arisaema nambae,Arisaema nambae Kitam.,Araceae
Adonis ramosa,Adonis ramosa Franch.,Ranunculaceae
Hibiscus moscheutos,Hibiscus moscheutos L.,Malvaceae
Polemonium brandegeei,Polemonium brandegeei Greene,Polemoniaceae
Polemonium brandegei,Polemonium brandegeei Greene,Polemoniaceae
O. insectifera,O. incarnata ,NA
O. speculum,O. aphroditae ,NA
Justicia gendarussa,Justicia gendarussa Blanco,NA
Sarcostemma clausum,Sarcostemma clausum (Jacq.) Schult.,Apocynaceae
Sarcostemma pannosum,Sarcostemma pannosum Decne.,Apocynaceae
Elettaria cardamomum,Elettaria cardamomum (L.) Maton,Zingiberaceae
Syzygium occidentale,Syzygium occidentale (Bourd.) Gandhi,Myrtaceae
Syzygium heyneanum,Syzygium heyneanum (Duthie) Gamble,Myrtaceae
Syzygium travancoricum,Syzygium travancoricum Gamble,Myrtaceae
Syzygium laetum,Syzygium laetum (Buch.-Ham.) Gandhi,Myrtaceae
Syzygium mundagam,Syzygium mundagam (Bourd.) Chithra,Myrtaceae
Vanda tricolor,Vanda tricolor Lindl.,Orchidaceae
Melampyrum arvense,Melampyrum arvense L.,Orobanchaceae
Rhinanthus minor,Rhinanthus minor L.,Orobanchaceae
Rhinanthus serotinus,Rhinanthus serotinus (Schönh.) Oborný,Orobanchaceae
Prunella vulgaris,Prunella vulgaris L.,Lamiaceae
Valeriana wallichii,Valeriana wallichii DC.,Caprifoliaceae
Cyanus segetum,Cyanus segetum Hill,Asteraceae
community-level data,Communis ,NA
Protea canaliculata,Protea canaliculata Andrews,Proteaceae
Protea sulphurea,Protea sulphurea E.Phillips,Proteaceae
Crotalaria juncea,Crotalaria juncea L.,Fabaceae
Protea nitida,Protea nitida Mill.,Proteaceae
Centropogon incanus,Centropogon incanus Zahlbr.,Campanulaceae
Centropogon brittonianus,Centropogon brittonianus Zahlbr.,Campanulaceae
Centropogon mandonis,Centropogon mandonis Zahlbr.,Campanulaceae
Dactylorhiza incarnata,Dactylorhiza incarnata (L.) Soó,Orchidaceae
Solanum didymum,Solanum didymum Dunal,Solanaceae
Avicennia germinans,Avicennia germinans (L.) L.,Acanthaceae
Penstemon pinifolius,Penstemon pinifolius Greene,Plantaginaceae
Salvia mexicana,Salvia mexicana L.,Lamiaceae
Salvia iodantha,Salvia iodantha Fernald,Lamiaceae
Ipomoea hederifolia,Ipomoea hederifolia L.,Convolvulaceae
Moussonia deppeana,Moussonia deppeana (Schltdl. & Cham.) Klotzsch ex Hanst.,Gesneriaceae
Penstemon roseus,Penstemon roseus (Cerv. ex Sweet) G.Don,Plantaginaceae
Prunus serotina,Prunus serotina Ehrh.,Rosaceae
Oreocereus celsianus,Oreocereus celsianus (Lem. ex Salm-Dyck) A.Berger ex Riccob.,Cactaceae
Rhexia virginica,Rhexia virginica L.,Melastomataceae
Castanea sativa and Castanea sativa × C. crenata hybrids,NA,NA
Vitellaria paradoxa subsp. paradoxa,Vitellaria paradoxa subsp. paradoxa ,Sapotaceae
Heliocarpus popayanensis,Heliocarpus popayanensis Kunth,Malvaceae
Luehea divaricata,Luehea divaricata Mart.,Malvaceae
Bauhinia championii,Bauhinia championii (Benth.) Benth.,Fabaceae
Bauhinia corymbosa,Bauhinia corymbosa Roxb.,NA
Bauhinia glauca,Bauhinia glauca (Benth.) Wall. ex Benth.,Fabaceae
Bauhinia purpurea,Bauhinia purpurea L.,Fabaceae
Bauhinia blakeana,Bauhinia × blakeana Dunn,Fabaceae
Bauhinia variegata,Bauhinia variegata L.,Fabaceae
Campanula americana,Campanula americana L.,Campanulaceae
Polyalthia suberosa,Polyalthia suberosa (Roxb.) Thwaites,Annonaceae
Dasymaschalon trichophorum,Dasymaschalon trichophorum Merr.,Annonaceae
Friesodielsia borneensis,Friesodielsia borneensis (Miq.) Steenis,Annonaceae
Goniothalamus tapisoides,Goniothalamus tapisoides Mat-Salleh,Annonaceae
Goniothalamus suaveolens,Goniothalamus suaveolens Becc.,Annonaceae
Palicourea fendleri,Palicourea fendleri Standl.,Rubiaceae
Freycinetia scandens,Freycinetia scandens Gaudich.,Pandanaceae
Calamus moti,Calamus moti F.M.Bailey,Arecaceae
Erysimum capitatum,Erysimum capitatum Greene,Brassicaceae
Lonicera implexa,Lonicera implexa Aiton,Caprifoliaceae
Trochetia granulata,Trochetia granulata Cordem.,Malvaceae
Garcinia brasiliensis,Garcinia brasiliensis Mart.,Clusiaceae
Lepidium papilliferum,Lepidium papilliferum A.Nelson & J.F.Macbr.,Brassicaceae
Helianthus annuus cv. Zebulon,Helianthus annuus L.,Asteraceae
Gaillardia aristata,Gaillardia aristata Pursh,Asteraceae
Justicia betonica,Justicia betonica L.,Acanthaceae
Oreocereus fossulatus,Oreocereus fossulatus (Labour.) Backeb.,Cactaceae
Sarcotheca celebica,Sarcotheca celebica Veldkamp,Oxalidaceae
Maranthes polyandra,Maranthes polyandra (Benth.) Prance,Chrysobalanaceae
Dracunculus vulgaris,Dracunculus vulgaris Schott,Araceae
Penstemon pseudospectabilis,Penstemon pseudospectabilis M.E.Jones,Plantaginaceae
Cicer arietinum L.,Cicer arietinum L.,Fabaceae
Callistemon viminalis,Callistemon viminalis (Sol. ex Gaertn.) G.Don,Myrtaceae
Albizia lebbeck,Albizia lebbeck (L.) Benth.,Fabaceae
Baptisia leucophaea,Baptisia leucophaea Nutt.,Fabaceae
Baptisia sphaerocarpa,Baptisia sphaerocarpa Nutt.,Fabaceae
Psychotria urbaniana,Psychotria urbaniana Steyerm.,Rubiaceae
Spermacoce assurgens,Spermacoce assurgens Nees & Mart.,Rubiaceae
Pterostylis alobula,Pterostylis alobula (Hatch) L.B.Moore,Orchidaceae
Gastrodia cunninghamii,Gastrodia cunninghamii Hook.f.,Orchidaceae
Conchocarpus rubrus,Conchocarpus rubrus (A.St.-Hil.) Bruniera & Groppo,NA
Echinopsis chiloensis ssp. chiloensis,Echinopsis chiloensis var. eburnea (Phil. ex K.Schum.) H.Friedrich & G.D.Rowley,Cactaceae
Trollius europaeus,Trollius europaeus L.,Ranunculaceae
Prepusa hookeriana,Prepusa hookeriana Gardner,Gentianaceae
Liparia parva,Liparia parva Vogel ex Walp.,Fabaceae
Penstemon scariosus var. albifluvis,Penstemon scariosus var. albifluvis (England) N.H.Holmgren,Plantaginaceae
Cyphomandra betacea,Cyphomandra betacea (Cav.) Sendtn.,Solanaceae
Caesalpinia calycina,Caesalpinia calycina Benth.,Fabaceae
Caesalpinia pluviosa var. sanfranciscana,Caesalpinia pluviosa var. sanfranciscana G.P.Lewis,Fabaceae
Marantochloa congensis,Marantochloa congensis (K.Schum.) J.Léonard & Mullend.,Marantaceae
Haumania danckelmanniana,Haumania danckelmaniana (J.Braun & K.Schum.) Milne-Redh.,Marantaceae
Tradescantia fluminensis,Tradescantia fluminensis Vell.,Commelinaceae
Salvia miltiorrhiza,Salvia miltiorrhiza Bunge,Lamiaceae
Primula poissonii,Primula poissonii Franch.,Primulaceae
Nelumbo nucifera,Nelumbo nucifera Gaertn.,Nelumbonaceae
Cypripedium plectrochilum,Cypripedium plectrochilum Franch.,Orchidaceae
Cypripedium tibeticum,Cypripedium tibeticum King ex Rolfe,Orchidaceae
Cypripedium henryi,Cypripedium henryi Rolfe,Orchidaceae
Disepalum pulchrum,Disepalum pulchrum (King) J.Sinclair,Annonaceae
Disepalum anomalum,Disepalum anomalum Hook.f.,Annonaceae
Rhododendron longipedicellatum,Rhododendron longipedicellatum Lei Cai & Y.P.Ma,Ericaceae
Epimedium sagittatum,Epimedium sagittatum (Siebold & Zucc.) Maxim.,Berberidaceae
Matricaria recutita,Matricaria recutita L.,NA
Pedicularis tenuisecta,Pedicularis tenuisecta Franch. ex Maxim.,Orobanchaceae
Pedicularis comptoniifolia,Pedicularis comptoniifolia Franch. ex Maxim.,Orobanchaceae
Nigella damascena,Nigella damascena L.,Ranunculaceae
Vicia dichroantha,Vicia dichroantha Diels,Fabaceae
Aconitum kusnezoffii,Aconitum kusnezoffii Rchb.,Ranunculaceae
Euphrasia minima,Euphrasia minima Schloss.,Orobanchaceae
Euphrasia salisburgensis,Euphrasia salisburgensis Funck ex Hoppe,Orobanchaceae
Antigonon leptopus,Antigonon leptopus Hook. & Arn.,Polygonaceae
Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco Schltdl.,Apocynaceae
Mertensia brevistyla,Mertensia brevistyla S.Watson,Boraginaceae
Salvia digitaloides,Salvia digitaloides Diels,Lamiaceae
Salvia flava,Salvia flava Forrest ex Diels,Lamiaceae
Thaspium barbinode,Thaspium barbinode (Michx.) Nutt.,Apiaceae
Thaspium trifoliatum var. flavum,Thaspium trifoliatum var. flavum S.F.Blake,Apiaceae
Thaspium trifoliatum var. trifoliatum,Thaspium trifoliatum var. trifoliatum ,Apiaceae
Zizia trifoliata,Zizia trifoliata (Michx.) Fernald,Apiaceae
Bridelia stipularis,Bridelia stipularis Hook. & Arn.,Phyllanthaceae
Cleistanthus sumatranus,Cleistanthus sumatranus (Miq.) Müll.Arg.,Phyllanthaceae
Dyckia excelsa,Dyckia excelsa Leme,Bromeliaceae
Sparganium erectum,Sparganium erectum L.,Typhaceae
Scirpus maritimus,Scirpus maritimus L.,Cyperaceae
Rhododendron protistum var. giganteum,Rhododendron protistum var. giganteum (Forrest ex Tagg) D.F.Chamb.,Ericaceae
Conchocarpus macrophyllus,Conchocarpus macrophyllus J.C.Mikan,Rutaceae
Angostura bracteata,Angostura bracteata (Nees & Mart.) Kallunki,Rutaceae
Agave desmettiana,Agave desmettiana Jacobi,Asparagaceae
Cereus atroviridis,Cereus atroviridis Backeb.,Cactaceae
Calliandra laxa,Calliandra laxa (Willd.) Benth.,Fabaceae
Thunbergia grandiflora,Thunbergia grandiflora Roxb.,Acanthaceae
Cyathostegia mathewsii,Cyathostegia matthewsii (Benth.) Schery,Fabaceae
Teucrium pseudochamaepitys,Teucrium pseudochamaepitys L.,Lamiaceae
Mayodendron igneum,Mayodendron igneum (Kurz) Kurz,Bignoniaceae
Ipomoea carnea subsp. fistulosa,Ipomoea carnea subsp. fistulosa (Mart. ex Choisy) D.F.Austin,Convolvulaceae
Oxalis psoraleoides,Oxalis psoraleoides Kunth,Oxalidaceae
Duperrea pavettifolia,Duperrea pavettifolia (Kurz) Pit.,Rubiaceae
Rhabdothamopsis sinensis,Rhabdothamnopsis sinensis Hemsl.,Gesneriaceae
Ornithidium fulgens,Ornithidium fulgens Rchb.f.,Orchidaceae
Nuphar ozarkana,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.,Nymphaeaceae
Nuphar advena,Nuphar advena (Aiton) W.T.Aiton,Nymphaeaceae
Nuphar lutea,Nuphar lutea (L.) Sm.,Nymphaeaceae
Nuphar pumila,Nuphar pumila (Timm) DC.,Nymphaeaceae
Wendlandiella sp.,Wendlandiella Dammer,Arecaceae
Musella lasiocarpa,Musella lasiocarpa (Franch.) H.W.Li,Musaceae
Lilium primulinum var. ochraceum,Lilium primulinum var. ochraceum (Franch.) Stearn,Liliaceae
Lilium brownii var. viridulum,Lilium brownii var. viridulum Baker,Liliaceae
Lilium henryi,Lilium henryi Baker,Liliaceae
Lilium rosthornii,Lilium rosthornii Diels,Liliaceae
Lilium leucanthum,Lilium leucanthum (Baker) Baker,Liliaceae
Lilium leucanthum var. centifolium,Lilium leucanthum var. centifolium (Stapf ex Elwes) Woodcock & Coutts,Liliaceae
Lilium regale,Lilium regale E.H.Wilson,Liliaceae
Lilium sulphureum,Lilium sulphureum Baker ex Hook.f.,Liliaceae
Cerasus cerasoides,Cerasus cerasoides (Buch.-Ham. ex D.Don) S.Ya.Sokolov,Rosaceae
Cerasus conradinae,Cerasus conradinae (Koehne) T.T.Yu & C.L.Li,Rosaceae
Lilium sargentiae,Lilium sargentiae E.H.Wilson,Liliaceae
Nouelia insignis,Nouelia insignis Franch.,Asteraceae
Chamaecrista keyensis,Chamaecrista keyensis Pennell,Fabaceae
Cyrtopodium polyphyllum,Cyrtopodium polyphyllum (Vell.) Pabst ex F.Barros,Orchidaceae
Eichhornia crassipes,Eichhornia crassipes (Mart.) Solms,Pontederiaceae
Delphinium pentagynum subsp. formenteranum,"Delphinium pentagynum subsp. formenteranum N.Torres, L.Sáez, Rosselló & C.Blanché",Ranunculaceae
Scalesia affinis,Scalesia affinis Hook.f.,Asteraceae
Darwiniothamnus lancifolius,Darwiniothamnus lancifolius (Hook.f.) Harling,Asteraceae
Darwiniothamnus tenuifolius,Darwiniothamnus tenuifolius (Hook.f.) Harling,Asteraceae
Tabebuia aurea,Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,Bignoniaceae
Silene douglasii var. oraria,Silene douglasii var. oraria (M.Peck) C.L.Hitchc. & Maguire,Caryophyllaceae
Silene douglasii var. rupinae,Silene douglasii var. brachycalyx B.L.Rob.,Caryophyllaceae
Silene douglasii var. douglasii,Silene douglasii var. douglasii ,Caryophyllaceae
Clusia nemorosa,Clusia nemorosa G.Mey.,Clusiaceae
Rauvolfia grandiflora,Rauvolfia grandiflora Mart. ex A.DC.,Apocynaceae
Lundia cordata,Lundia cordata (Vell.) DC.,Bignoniaceae
Psychotria suterella,Psychotria suterella Müll.Arg.,Rubiaceae
Scrophularia lyrata,Scrophularia lyrata Willd.,Scrophulariaceae
Scrophularia scorodonia,Scrophularia scorodonia L.,Scrophulariaceae
Scrophularia canina,Scrophularia canina L.,Scrophulariaceae
Trichostema laxum,Trichostema laxum A.Gray,Lamiaceae
Zieria granulata,Zieria granulata C.Moore ex Benth.,Rutaceae
Freycinetia baueriana,Freycinetia baueriana Endl.,Pandanaceae
Petunia exserta,Petunia exserta Stehmann,Solanaceae
Petunia exserta x Petunia axillaris,Petunia exserta Stehmann,Solanaceae
Haplopappus venetus,Haplopappus venetus S.F.Blake,Asteraceae
Hibiscus meyeri,Hibiscus meyeri Harv.,Malvaceae
Pseudotrimezia pauloi,Pseudotrimezia pauli Chukr,Iridaceae
Pseudotrimezia planifolia,Pseudotrimezia planifolia Ravenna,Iridaceae
Pseudotrimezia synandra,Pseudotrimezia synandra Ravenna,Iridaceae
Pseudotrimezia juncifolia,Pseudotrimezia juncifolia (Klatt) Lovo & A.Gil,Iridaceae
Pseudotrimezia truncata,Pseudotrimezia truncata (Ravenna) Lovo & A.Gil,Iridaceae
Aridarum nicolsonii,Aridarum nicolsonii Bogner,Araceae
Phymatarum borneense,Phymatarum borneense M.Hotta,Araceae
Goodenia berardiana,Goodenia berardiana (Gaudich.) Carolin,Goodeniaceae
Podolepis lessonii,Podolepis lessonii Benth.,Asteraceae
Podotheca gnaphalioides,Podotheca gnaphalioides Graham,Asteraceae
Rhodanthe manglesii,Rhodanthe manglesii Lindl.,Asteraceae
Waitzia acuminata,Waitzia acuminata Steetz,Asteraceae
Arctotheca calendula,Arctotheca calendula (L.) Levyns,Asteraceae
Trichosanthes anguina,Trichosanthes anguina L.,Cucurbitaceae
Trichosanthes kirilowii,Trichosanthes kirilowii Maxim.,Cucurbitaceae
Eucalyptus sp.-Myrceugenia glaucescens,Eucalyptus L'Hér.,Myrtaceae
Solanum sp.-Cyphomandra betacea,Solanum L.,Solanaceae
Parkinsonia aculeata,Parkinsonia aculeata L.,Fabaceae
Prunus avium,Prunus avium (L.) L.,Rosaceae
Myrmecophila grandiflora,"Myrmecophila grandiflora (Lindl.) Carnevali, J.L.Tapia & I.Ramírez",Orchidaceae
Brassavola nodosa,Brassavola nodosa (L.) Lindl.,Orchidaceae
Silene niceensis,Silene nicaeensis All.,Caryophyllaceae
Silene ramosissima,Silene ramosissima Desf.,Caryophyllaceae
Platanthera lacera,Platanthera lacera (Michx.) G.Don,Orchidaceae
Meiogyne heteropetala,"Meiogyne heteropetala (F.Muell.) D.C.Thomas, Chaowasku & R.M.K.Saunders",Annonaceae
Ceiba aesculifolia,Ceiba aesculifolia (Kunth) Britten & Baker f.,Malvaceae
Ceiba grandiflora,Ceiba grandiflora Rose,Malvaceae
Tecoma × 'Orange Jubilee',Tecoma Juss.,Bignoniaceae
Blakea sp. A,Blakea acostae Wurdack,Melastomataceae
Blakea gracilis,Blakea gracilis Hemsl.,Melastomataceae
Blakea anomala,Blakea anomala Donn.Sm.,Melastomataceae
Blakea tuberculata,Blakea tuberculata Donn.Sm.,Melastomataceae
Blakea grandiflora,Blakea grandiflora Hemsl.,Melastomataceae
Astrophytum ornatum,Astrophytum ornatum (DC.) Britton & Rose,Cactaceae
Complaya trilobata,Complaya trilobata (L.) Strother,Asteraceae
Saranthe klotzschiana,Saranthe klotzschiana Eichl.,Marantaceae
Borreria verticilata,Borreria verticillata (L.) G.Mey.,Rubiaceae
Sechium edule,Sechium edule Sw.,Cucurbitaceae
Paphiopedilum spicerianum,Paphiopedilum spicerianum (Rchb.f.) Pfitzer,Orchidaceae
Polygonum pubescens,Polygonum pubescens Blume,Polygonaceae
Shuteria vestita,Shuteria vestita Wight & Arn.,Fabaceae
Scutellaria discolor,Scutellaria discolor Colebr.,NA
Urena lobata,Urena lobata L.,Malvaceae
Opuntia ficus-indica,Opuntia ficus-indica (L.) Mill.,Cactaceae
Erica lanuginosa,Erica lanuginosa Andrews,Ericaceae
Erica aristata,Erica aristata Andrews,Ericaceae
Asarum caudatum,Asarum caudatum Lindl.,Aristolochiaceae
Blakea austin-smithii,Blakea austin-smithii Standl.,Melastomataceae
Blakea penduliflora,Blakea penduliflora Almeda,Melastomataceae
Vincetoxicum nigrum,Vincetoxicum nigrum (L.) Moench,Apocynaceae
Alcea rosea,Alcea rosea L.,Malvaceae
Racosperma mangium,Racosperma mangium (Willd.) Pedley,Fabaceae
Schizolobium parahyba var. amazonicum,Schizolobium parahyba var. amazonicum (Huber ex Ducke) Barneby,Fabaceae
Tectona grandis,Tectona grandis L.f.,Lamiaceae
Calanthe sylvatica,Calanthe sylvatica (Thouars) Lindl.,Orchidaceae
Calanthe alismaefolia,Calanthe alismatifolia Lindl.,NA
Dendrobium chrysotoxum,Dendrobium chrysotoxum Lindl.,Orchidaceae
Illicium dunnianum,Illicium dunnianum Tutcher,Schisandraceae
Illicium tsangii,Illicium tsangii A.C.Sm.,Schisandraceae
Kadsura coccinea,Kadsura coccinea (Lem.) A.C.Sm.,Schisandraceae
Kadsura longipedunculata,Kadsura longepedunculata Finet & Gagnep.,Schisandraceae
Kadsura oblongifolia,Kadsura oblongifolia Merr.,Schisandraceae
Glochidion lanceolarium,Glochidion lanceolarium (Roxb.) Voigt,Phyllanthaceae
Illicium jiadifengpi,Illicium jiadifengpi B.N.Chang,Schisandraceae
Phyllanthus cochinchinensis,Phyllanthus cochinchinensis (Lour.) Müll.Arg.,Phyllanthaceae
Phyllanthus rheophyticus,Phyllanthus rheophyticus M.G.Gilbert & P.T.Li,Phyllanthaceae
Oxalis debilis,Oxalis debilis Kunth,Oxalidaceae
Bridelia tomentosa,Bridelia tomentosa Blume,Phyllanthaceae
Saxifraga candelabrum,Saxifraga candelabrum Franch.,Saxifragaceae
Lupinus bicolor,Lupinus bicolor Lindl.,Fabaceae
Mystacidium venosum,Mystacidium venosum Harv. ex Rolfe,Orchidaceae
Ranunculus montanus,Ranunculus montanus Willd.,Ranunculaceae
Buxus balearica,Buxus balearica Lam.,Buxaceae
Bougainvillea stipitata,Bougainvillea stipitata Griseb.,Nyctaginaceae
Ficus semicordata,Ficus semicordata Buch.-Ham. ex Sm.,Moraceae
Ficus tinctoria,Ficus tinctoria G.Forst.,Moraceae
Primula bulleyana,Primula bulleyana Forrest,Primulaceae
Rhododendron hybrid,Rhododendron hybridogenum Sleumer,Ericaceae
Souroubea guianensis,Souroubea guianensis Aubl.,Marcgraviaceae
Adenocalymna dichilum,Adenocalymma dichilum A.H.Gentry,Bignoniaceae
Irlbachia alata,Irlbachia alata (Aubl.) Maas,Gentianaceae
Cordia globosa,Cordia globosa Kunth,Boraginaceae
Cordia leucocephala,Cordia leucocephala Moric.,Boraginaceae
